 Galaxy               theta_arcsec   d_kpc  z_gal   z_Lya  Wr_HI eWr_HI Wr_SiIII eWr_SiIII Wr_SiII eWr_SiII Wr_SiIV eWr_SiIV Wr_CII eWr_CII Wr_CIV eWr_CIV     
 SDSSJ112644.33+590926.0        393.2  32.4 0.0040  0.0040    993  15 290 11  nan nan  166 12   106 12   586 12
 SDSSJ134249.99-005329.0         29.1  39.3 0.0708  0.0717    660  16 78  6    69  8    <= 16   140 14   309 24
 NGC3485                        582.5  57.6 0.0048  0.0048    506  12 <= 22    <= 11    <= 21    <= 35    <= 22
 SDSSJ144520.23+341948.1        529.0  60.6 0.0056  0.0056    962  94 <= 38    <= 20    <= 36    84 19   266 28
 2MASXJ08091327+4618424          68.6  62.7 0.0466  0.0464   1026  10 54  6    <= 11    69  7    <= 21    <= 27
 SDSSJ122815.96+014944.1       1107.1  69.5 0.0030  0.0034    393   8 <=  7    <=  4    <=  3    <=  5    <=  8
 SDSSJ121413.94+140330.4         56.6  70.1 0.0644  0.0644    859   9 <=  6    <=  4    <= 10    <= 10    <= 15
 2MASXJ043936.88-530045.5       646.1  74.3 0.0056  0.0055    518   9 152 10  nan nan   47  8    <= 17    59 10
 SDSSJ025914.53+003359.6        406.0  76.6 0.0092  0.0094    446  33 nan nan  <= 15    <= 29    <= 33    <= 39
 SDSSJ025938.43+003939.3        123.7  77.0 0.0311  0.0311    196  12 <= 21    <= 28    <= 25    <= 31    <= 31
 2MASXJ111252.05+353828.7       169.0  86.1 0.0253  0.0249   1012  30 <= 22    <= 19    <= 41    <= 34    nan nan
 ESO157-50                      335.3  88.5 0.0129  0.0129    598  21 nan nan  <= 10    <= 18    <= 16    nan nan
 SDSSJ102220.70+013143.5         43.7 105.7 0.1369  0.1373    238  12 <= 26    <= 39    <= 55      111 19 <= 55
 2MASXJ112240.02+575344.2       125.0 107.2 0.0435  0.0434    986  18 <= 18    <= 22    <= 23    <= 40    <= 67
 SDSSJ075106.01+292250.3        208.6 112.3 0.0268  0.0267    526  10 nan nan  <=  6    <=  8   nan nan   <= 18
 GALEXASCJ040751.11-121138.7     40.6 115.9 0.1669  0.167     907  3 249  2   146  3   111  4   221  4   nan nan
 SDSSJ111342.87+352902.6        998.3 120.1 0.0058  0.0060    156  26 nan nan  <= 19   nan nan  <= 52    <= 51
 SDSSJ112418.74+420323.1        247.6 122.6 0.0246  0.0245    512   9 nan nan  nan nan  <= 16    <= 15    <= 23
 SDSSJ111811.27+262309.4        705.0 135.8 0.0094 -1.0       <=  30  <= 29    <= 15    <= 21    <= 25    <= 51
 SDSSJ111906.68+211828.7         56.6 138.1 0.1381  0.1385    471   5 84  3    51  2    37  6    90  6    53 10
 [TLS98]J182202.65+642139.3      71.4 156.1 0.1215  0.1213    677  15 <=  7    <=  7    <=  8    <= 12   nan nan
 SDSSJ000545.07+160853.3        211.5 156.2 0.0372 -1.0       nan nan <=  7    <=  9    nan nan  <= 11    <= 24
 SDSSJ112303.76+580124.7        373.4 165.4 0.0219  0.0217    935  32 <= 20    <= 28    <= 40    <= 33    <= 66
 2MASXiJ095002.7+390308         131.8 166.4 0.0658  0.0669    165  12 <= 19    <= 12    <= 20    <= 25    <= 16
 SDSSJ100618.16+285641.9       1780.7 166.9 0.0045  0.0036    297  23 <= 27    <= 14    <= 21    <= 18    <= 32
 SDSSJ170615.84+604218.8        705.4 172.3 0.0119  0.012     402  24 <= 26    <= 12    <= 10    <= 13    <= 35
 SDSSJ095016.61+483006.8        178.0 178.6 0.0514  0.0513    598  28 <= 17    <= 18    <= 24   nan nan   <= 59
 2MASXJ100403.23+285649.6        75.3 179.0 0.1339  0.1336    177   9 <= 11    <= 12    <= 25    <= 30    nan nan
 SDSSJ101008.85+300252.5        110.4 180.5 0.0874  0.0875    329  12 <= 14    <= 12    nan nan nan nan   <= 31
 SDSSJ143434.58+361717.9        882.7 183.0 0.0101  0.0099    341  23 <= 35   nan nan   <= 25    <= 27    <= 57
 SDSSJ144504.37+342822.0         85.4 184.4 0.1198  0.1197    249  17 <= 25    <= 29    nan nan nan nan   <= 52
 2MASXJ072234.63+713556.3       940.6 185.9 0.0096  0.0096    448   6 nan nan  <=  4    <=  7    <=  8    <=  9
 SDSSJ152827.39+282738.6        217.3 192.7 0.0451  0.0451    160   8 <=  9   nan nan   <= 11    <= 16    <= 23
*2MASXJ00055617+1608041         113.8 192.9 0.0909  0.0909    805   8 nan nan  <=  6    <=  9    <= 28   220 13
 GALEXASCJ040743.80-121210.2     73.8 195.6 0.1524  0.153     420   5 <=  1    <=  2    <=  7    <=  4    <= 12
 2MASXJ091510.48+282456.9       406.2 205.9 0.0252  0.025     594  14 <= 18    <= 17    <= 24    <= 28    <= 46
 SDSSJ143743.01-014742.6         85.2 208.2 0.1385  0.1384    396   5 nan nan  <=  6   nan nan  nan nan   91  7
 2MASXJ092007.19+551958.3       141.2 211.8 0.0794  0.0793    239   8 nan nan  nan nan  <= 11    <= 16    nan nan
 SDSSJ112302.70+575523.5        143.3 212.7 0.0785  0.0786    326  22 nan nan  nan nan  <= 35    <= 69    nan nan
 SDSSJ112457.15+420550.8        317.1 212.9 0.0337  0.0338    198   6 <=  8    nan nan  <= 11    <= 16    <= 21
 SDSSJ111245.81+353901.7         85.8 216.0 0.1433  0.1433    280  20 <= 30    <= 31    <= 75   nan nan   <= 78
 2MASXJ093516.94+020241.0        96.7 218.0 0.1259  0.1263    459  24 <= 27    <= 25    <= 45   nan nan   <= 68
 SDSSJ124107.02+572319.0        402.3 222.0 0.0275  0.0277    591  10 <= 15    <= 28    <= 25    <= 28    nan nan
 [PWC2011a]J215506.53-092325.2   95.6 225.1 0.1325  0.1323    414   6 <=  9    <=  8    <= 18    <= 15    nan nan
 2MASXJ130520.26-103631.1       268.5 225.3 0.0425  0.0422    466   5 55  4    <=  6    27  5    26  5    83 11
 SDSSJ030004.11+003730.6        399.9 225.8 0.0281 -1.0       nan nan <= 17    <= 27    <= 33    <= 36    <= 31
 SDSSJ075108.95+291736.4        129.6 228.3 0.095   0.0949    190   7 <=  9    <=  5    <=  7    <= 13    <= 12
 SDSSJ080423.13+433457.3        285.7 230.9 0.0409  0.0409    437  24 58 12    <= 28    96 16   nan nan   155 33
 SDSSJ163231.92+373828.1        367.9 234.2 0.0319 -1.0       nan nan nan nan  <=  6    <=  8    <=  7    nan nan
 2MASXJ132209.25+464256.7       210.3 237.1 0.0582 -1.0       <=  45  <= 28    nan nan  <= 24   nan nan   <= 47
 GALEXASCJ031201.78-765518.3    208.0 238.6 0.0593  0.0595    170  11 <= 15    <=  8    <= 14    <= 26    <= 50
 2MASXJ121109.71+365506.0       163.8 240.8 0.0777  0.0777    552  21 <= 25    <= 16    <= 19    <= 26    <= 24
 SDSSJ125926.77+591734.9       1236.1 241.8 0.0095 -1.0       nan nan <= 23    <=  9    <= 13    <= 14    <= 19
 SDSSJ080338.03+432034.9        778.5 242.4 0.0153  0.0153    209  20 nan nan  <= 16    <= 45    <= 33    <= 38
 SDSSJ092617.38+452924.9        449.5 243.9 0.027   0.0261    453  10 <= 11    <=  9    <= 18    <= 15    <= 28
 SDSSJ113056.11+311445.6        176.0 249.1 0.0745  0.0744    324  11 <= 13    <=  7    <= 13    <= 19    <= 22
 2MASXJ161704.61+415200.5       217.4 251.2 0.0598 -1.0       nan nan nan nan  nan nan  nan nan  nan nan  <= 48
 2MASXJ100953.50+300202.5       122.6 252.6 0.1134  0.1137    524  15 <= 11    <= 11    <= 15    nan nan  <= 50
 SDSSJ113244.04+022824.8       3594.5 254.8 0.0034 -1.0       <=  50 nan nan  nan nan   <= 32    nan nan  <= 38
 2MASXJ120653.13+262534.4       379.7 256.4 0.0339  0.0339    122  15 <= 16    <= 25    <= 24    <= 30    <= 29
 SDSSJ143757.31+504432.0        307.5 261.0 0.0431  0.0424    261  22 <= 37    <= 39    <= 44    nan nan  <= 10
 SDSSJ083335.65+250847.1       1721.8 263.3 0.0074  0.0073    248  11 nan nan  <= 11    <= 17    nan nan  <= 31
 SDSSJ084358.51+411650.4        113.8 266.2 0.1314 -1.0       <=  56  <= 34    <= 29    <= 64    nan nan  <= 13
 SDSSJ093524.13+020509.9        104.3 271.9 0.1494  0.1494    535  30 <= 25    <= 61    nan nan  nan nan  nan nan
 2MASXJ134221.97+382650.6       171.8 273.1 0.0847  0.0848    298  14 <= 24    <= 14    <= 19    <= 34    <= 36
 SDSSJ112250.97+575335.0        137.0 275.5 0.1103  0.1104    435  18 <= 19    <= 25    nan nan  nan nan  <= 54
 SDSSJ103110.35+505211.0        114.8 278.6 0.1373  0.1374    238  10 nan nan  <= 12    nan nan  nan nan  <= 46
 SDSSJ234502.69-005552.8        225.9 280.6 0.0647  0.0649   1111  24 <= 19    <= 21    <= 26    nan nan  <= 52
 SDSSJ083607.41+250645.7        604.6 283.1 0.0232  0.0233    160  13 <= 14    <= 16    <= 16    <= 13    <= 30
 2MASXJ133027.09+311632.4       380.4 289.9 0.0384  0.0376    291  13 <= 13    <= 17    <= 17    <= 26    <= 31
 SDSSJ004214.99-104414.9        405.7 290.0 0.036  -1.0       <=   8  nan nan  nan nan  <= 23    nan nan  <= 50
 2MASXJ120427.89+275858.1       342.0 290.1 0.043   0.043     319  33 <= 24    <= 40    <= 19    <= 25    <= 43
 2MASXJ113326.13+032418.7       182.3 291.1 0.0851  0.0851    742  26 <= 39    <= 21    nan nan  <= 55    nan nan
 2MASXJ025942.96+003907.8       123.1 293.1 0.1342  0.1348    355  16 <= 22    nan nan  nan nan  nan nan  nan nan
 SDSSJ120345.06+273702.0       1278.5 293.4 0.0112  0.0106    181  23 <= 30    <= 24    <= 11    <= 42    <= 66
 NGC4939                       1395.9 296.7 0.0104 -1.0       <=  10  <= 10    <=  6    <= 19    <= 10    <=  8
 SDSSJ152840.62+282242.9        166.9 301.8 0.0978 -1.0       nan nan <= 10    <=  9    nan nan  nan nan  <= 20
 SDSSJ091225.86+095719.8       1991.9 302.8 0.0074  0.0071    188  28 nan nan  <= 27    <= 20    <= 19    <= 15
 2MASXJ123259.63-004158.0       627.6 304.1 0.024   0.0228    196  14 <= 16    <= 20    nan nan  <= 26    <= 33
 SDSSJ170325.13+603944.4        628.4 304.3 0.024  -1.0       nan nan <= 19    <= 11    <= 16    <= 20    <= 33
 2MASXJ083531.05+245607.6       221.6 307.1 0.0728 -1.0       <=  67  <= 20    <= 10    <= 16    <= 19    <= 23
 SDSSJ084555.38+413118.0       1634.8 311.0 0.0093  0.01      343  28 <= 64    <= 26    nan nan  <= 50    <= 53
 SDSSJ091532.45+300824.2       2391.1 311.5 0.0063 -1.0       <=  47  <= 41    <= 23    <= 38    <= 33    <= 39
 SDSSJ120701.76+262023.3        356.8 314.8 0.0449 -1.0       <=  29  nan nan  nan nan  <= 30    <= 17    <= 23
 ESO466-032                     924.2 321.1 0.0171  0.017     336  12 <= 11    <=  9    <= 13    <= 13    <= 19
 SDSSJ094409.09+055612.7       1583.4 328.2 0.0101 -1.0       <=  37  nan nan  <= 23    <= 36   nan nan   <= 49
 SDSSJ112517.67+590828.8        299.7 335.8 0.0578  0.0578    236  11 nan nan  <= 12    <= 14    <= 20    <= 25
 SDSSJ104901.52-003825.4       2662.9 337.5 0.0062 -1.0       <=  25  nan nan  <= 12    <= 15    <= 21    <= 26
 SDSSJ092721.06+454158.8        982.5 342.3 0.0171  0.017     183  10 nan nan  <= 16    <= 17    nan nan   <= 20
