 Galaxy                         d_kpc Wr_CIV eWr_CIV
 SDSSJ112644.33+590926.0         32.4 586 12
 SDSSJ134249.99-005329.0         39.3 309 24
 NGC3485                         57.6 <= 22
 SDSSJ144520.23+341948.1         60.6 266 28
 2MASXJ08091327+4618424          62.7 <= 27
 SDSSJ122815.96+014944.1         69.5 <=  8
 SDSSJ121413.94+140330.4         70.1 <= 15
 2MASXJ043936.88-530045.5        74.3 59 10
 SDSSJ025914.53+003359.6         76.6 <= 39
 SDSSJ025938.43+003939.3         77.0 <= 31
 SDSSJ102220.70+013143.5        105.7 <= 55
 2MASXJ112240.02+575344.2       107.2 <= 67
 SDSSJ075106.01+292250.3        112.3 <= 18
 SDSSJ111342.87+352902.6        120.1 <= 51
 SDSSJ112418.74+420323.1        122.6 <= 23
 SDSSJ111811.27+262309.4        135.8 <= 51
 SDSSJ111906.68+211828.7        138.1 53 10
 SDSSJ000545.07+160853.3        156.2 <= 24
 SDSSJ112303.76+580124.7        165.4 <= 66
 2MASXiJ095002.7+390308         166.4 <= 16
 SDSSJ100618.16+285641.9        166.9 <= 32
 SDSSJ170615.84+604218.8        172.3 <= 35
 SDSSJ095016.61+483006.8        178.6 <= 59
 SDSSJ101008.85+300252.5        180.5 <= 31
 SDSSJ143434.58+361717.9        183.0 <= 57
 SDSSJ144504.37+342822.0        184.4 <= 52
 2MASXJ072234.63+713556.3       185.9 <=  9
 SDSSJ152827.39+282738.6        192.7 <= 23
*2MASXJ00055617+1608041         192.9 220 13
 GALEXASCJ040743.80-121210.2    195.6 <= 12
 2MASXJ091510.48+282456.9       205.9 <= 46
 SDSSJ143743.01-014742.6        208.2 91  7
 SDSSJ112457.15+420550.8        212.9 <= 21
 SDSSJ111245.81+353901.7        216.0 <= 78
 2MASXJ093516.94+020241.0       218.0 <= 68
 2MASXJ130520.26-103631.1       225.3 83 11
 SDSSJ030004.11+003730.6        225.8 <= 31
 SDSSJ075108.95+291736.4        228.3 <= 12
 SDSSJ080423.13+433457.3        230.9 155 33
 2MASXJ132209.25+464256.7       237.1 <= 47
 GALEXASCJ031201.78-765518.3    238.6 <= 50
 2MASXJ121109.71+365506.0       240.8 <= 24
 SDSSJ125926.77+591734.9        241.8 <= 19
 SDSSJ080338.03+432034.9        242.4 <= 38
 SDSSJ092617.38+452924.9        243.9 <= 28
 SDSSJ113056.11+311445.6        249.1 <= 22
 2MASXJ161704.61+415200.5       251.2 <= 48
 2MASXJ100953.50+300202.5       252.6 <= 50
 SDSSJ113244.04+022824.8        254.8 <= 38
 2MASXJ120653.13+262534.4       256.4 <= 29
 SDSSJ143757.31+504432.0        261.0 <= 10
 SDSSJ083335.65+250847.1        263.3 <= 31
 SDSSJ084358.51+411650.4        266.2 <= 13
 2MASXJ134221.97+382650.6       273.1 <= 36
 SDSSJ112250.97+575335.0        275.5 <= 54
 SDSSJ103110.35+505211.0        278.6 <= 46
 SDSSJ234502.69-005552.8        280.6 <= 52
 SDSSJ083607.41+250645.7        283.1 <= 30
 2MASXJ133027.09+311632.4       289.9 <= 31
 SDSSJ004214.99-104414.9        290.0 <= 50
 2MASXJ120427.89+275858.1       290.1 <= 43
 SDSSJ120345.06+273702.0        293.4 <= 66
 NGC4939                        296.7 <=  8
 SDSSJ152840.62+282242.9        301.8 <= 20
 SDSSJ091225.86+095719.8        302.8 <= 15
 2MASXJ123259.63-004158.0       304.1 <= 33
 SDSSJ170325.13+603944.4        304.3 <= 33
